,Report_Date,Cases,Deaths,Recovered,Country,Incremental_Cases,CaseRate,Incremental_Deaths,DeathRate,RollingCases_last7,RollingDeaths_last7
28,2020-04-08,429052,14695,23559,USA,32829.0,0.0828548569871007,1973.0,0.15508567835246032,30811.428571428572,1419.7142857142858
29,2020-04-09,461437,16478,25410,USA,32385.0,0.07548036135480082,1783.0,0.12133378700238176,31096.428571428572,1507.4285714285713
20,2020-04-10,496535,18586,28790,USA,35098.0,0.07606238771489933,2108.0,0.1279281466197354,31564.14285714286,1642.7142857142858
0,2020-03-13,17660,1266,1439,Italy,,,,,,
1,2020-03-14,21157,1441,1966,Italy,3497.0,0.19801812004530012,175.0,0.1382306477093207,,
2,2020-03-15,24747,1809,2335,Italy,3590.0,0.16968379259819444,368.0,0.25537820957668284,,
3,2020-03-16,27980,2158,2749,Italy,3233.0,0.1306420980320847,349.0,0.19292426755113323,,
4,2020-03-17,31506,2503,2941,Italy,3526.0,0.12601858470335955,345.0,0.15987025023169602,,
5,2020-03-18,35713,2978,4025,Italy,4207.0,0.13353012124674665,475.0,0.18977227327207352,,
6,2020-03-19,41035,3405,4440,Italy,5322.0,0.1490213647691317,427.0,0.14338482202820685,,
7,2020-03-20,47021,4032,4440,Italy,5986.0,0.14587547215791397,627.0,0.1841409691629956,4194.428571428572,395.14285714285717
8,2020-03-21,53578,4825,6072,Italy,6557.0,0.1394483315965207,793.0,0.1966765873015873,4631.571428571428,483.42857142857144
9,2020-03-22,59138,5476,7024,Italy,5560.0,0.10377393706372018,651.0,0.13492227979274612,4913.0,523.8571428571429
10,2020-03-23,63927,6077,7024,Italy,4789.0,0.08098008048970205,601.0,0.10975164353542732,5135.285714285715,559.8571428571429
11,2020-03-24,69176,6820,8326,Italy,5249.0,0.08210928089852489,743.0,0.12226427513575777,5381.428571428572,616.7142857142857
12,2020-03-25,74386,7503,9362,Italy,5210.0,0.07531513819821904,683.0,0.1001466275659824,5524.714285714285,646.4285714285714
13,2020-03-26,80589,8215,10361,Italy,6203.0,0.08338934745785498,712.0,0.09489537518326004,5650.571428571428,687.1428571428571
14,2020-03-27,86498,9134,10950,Italy,5909.0,0.07332266190174838,919.0,0.1118685331710286,5639.571428571428,728.8571428571429
